Ticker,AdjClose_FYend,Price_Date,Shares_Outstanding,MarketCap_E,Sigma_E,D_total,ST_debt,LT_debt,V,Sigma_V,d1,d2,Merton_PD,KMV_DP,KMV_DD,KMV_PD,solve_message
SBIBANK,756.3135375976562,2025-03-28,8924620034.0,6749810949629.455,0.29947798156390404,66142606900000.0,26257164700000.0,39885442200000.0,68113078224647.3,0.029683567300038023,3.5304609281698567,3.5007773608698187,0.0002319516117567892,46199885800000.0,10.83824720519268,1.1338710248710159e-27,The solution converged.
BANKBARODA,220.9165954589844,2025-03-28,5171362179.0,1142439726470.0352,0.3958677091970294,25778345700000.0,11301960400000.0,14476385300000.0,25057419635804.305,0.018138309426668803,2.5801550299474867,2.562016720520818,0.0052033154118978605,18540153050000.0,14.339444699396552,6.202199545690258e-47,The solution converged.
CANBK,85.92147827148438,2025-03-28,9076562500.0,779871667623.5199,0.3998918214002723,35795260900000.0,10072609700000.0,25722651200000.0,33988094751441.805,0.009230234473993562,2.517530844864238,2.5083006103902443,0.006065670616928134,22933935300000.0,35.23596508917213,2.814311833750941e-272,The solution converged.
HDFCBANK,901.908935546875,2025-03-28,5105325797.0,4604538955192.271,0.2463206105056225,32627027900000.0,402332200000.0,32224695700000.0,34874050082469.89,0.032522840308641686,4.370185587987964,4.337662747679323,7.200294801048559e-06,16514680050000.0,16.18702067818183,3.113577062402494e-59,The solution converged.
ICICIBANK,1338.025634765625,2025-03-28,3564037855.0,4768774013265.092,0.28606524472551814,17338862800000.0,6187340900000.0,11151521900000.0,20854781222833.953,0.06541537939778495,4.001695607473235,3.93628022807545,4.137716743842984e-05,11763101850000.0,6.664362449652441,1.3290836142766826e-11,The solution converged.
AXISBANK,1101.0589599609375,2025-03-28,3098620347.0,3411763696581.619,0.322906867960293,14991933000000.0,3581757300000.0,11410175700000.0,17320360989317.139,0.0636221377509445,3.4798324113717882,3.4162102736208437,0.0003174959699538919,9286845150000.0,7.29021702825608,1.5472805963920462e-13,The solution converged.
KOTAKBANK,2168.699462890625,2025-03-28,1988519342.0,4312500828943.019,0.2675145041249206,15465208000000.0,6129009600000.0,9336198400000.0,18660244505797.246,0.06182487273304707,4.281668340076987,4.21984346734394,1.2223600176893972e-05,10797108800000.0,6.815774446319828,4.6878649745438655e-12,The solution converged.
INDUSINDBK,649.8499755859375,2025-03-28,779445161.0,506522418846.4271,0.42914021794588403,5894460000000.0,2848660500000.0,3045799500000.0,5974522923450.11,0.03665765335119698,2.4323219318590215,2.3956642785078244,0.008295139000910324,4371560250000.0,7.31906354304504,1.2485367202150676e-13,The solution converged.
BAJFINANCE,889.0739135742188,2025-03-28,6208203435.0,5519551724220.358,0.34202163880867875,2769082400000.0,1085765100000.0,1683317300000.0,8088549795706.24,0.23338918237349063,5.030947439934217,4.797558257560727,8.030575189267515e-07,1927423750000.0,3.2636885491490597,0.000549859914449647,The solution converged.
PNB,93.4228973388672,2025-03-28,11521086957.0,1076333324015.9729,0.39436335133302036,16504002000000.0,5895063500000.0,10608938500000.0,16387229291006.879,0.026015659834603303,2.6229525015712074,2.596936841736604,0.004702960866049146,11199532750000.0,12.168419907025575,2.2892995688848827e-34,The solution converged.
